Geneid	L11B	L12B	L13B	L14B	L15B	L1A	L2A	L3A	L4A	L5A	L1N	L2N	L3N	L4N
Pdcd11	7	9	15	9	7	26	14	10	20	31	34	37	39	12
Usmg5	176	232	269	227	275	456	236	264	484	495	299	455	378	214
Taf5	9	9	4	9	9	9	9	9	14	8	7	25	12	14
Pcgf6	2	11	1	14	14	6	1	6	16	13	4	6	5	6
LOC101823232	0	0	0	0	0	1	0	0	1	1	0	1	0	0
Ina	0	2	0	0	2	0	0	1	0	3	1	0	0	0
Nt5c2	16	21	5	37	17	4	4	16	44	38	16	14	19	5
LOC110342231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm2	6	31	9	35	41	10	9	29	52	53	24	22	20	9
LOC106022932	8	2	1	9	5	0	1	6	12	12	0	1	3	2
Borcs7	32	45	37	70	46	57	31	56	87	84	55	84	56	24
Cyp17a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn2	1	10	10	8	8	2	2	15	17	12	5	6	6	1
Arl3	35	59	29	79	87	68	32	62	117	132	64	87	80	37
Trim8	21	31	26	34	30	54	30	33	58	74	50	68	73	34
Sufu	25	46	18	52	43	22	8	36	104	77	18	36	25	7
Actr1a	49	57	43	72	69	67	45	47	140	115	60	87	66	37
Mfsd13a	2	6	4	13	7	4	1	4	16	11	2	3	0	0
LOC101832493	0	4	1	1	2	2	1	1	0	4	1	1	1	1
Cuedc2	9	21	14	28	26	41	26	17	42	37	33	37	40	15
Fbxl15	1	5	5	8	6	7	6	2	3	6	13	8	12	4
Psd	1	1	1	4	2	0	5	4	5	6	5	1	2	1
Nfkb2	28	39	38	54	31	81	48	34	99	116	55	84	60	26
Gbf1	32	69	36	111	92	47	29	72	170	132	48	67	38	22
LOC110342575	0	1	3	3	1	3	1	1	4	2	0	5	2	1
Pitx3	0	1	0	5	1	1	0	3	4	2	0	0	0	0
Elovl3	7	32	5	37	45	7	5	20	62	53	10	20	13	6
Nolc1	2	3	11	7	2	7	5	6	6	9	11	13	9	9
Pprc1	13	39	28	32	36	51	35	25	47	52	34	83	63	34
Ldb1	9	8	9	15	20	28	13	18	26	35	34	39	29	14
Hps6	1	5	7	2	4	9	5	1	4	7	3	2	7	2
CUNH10orf76	41	89	30	110	104	35	33	111	196	143	57	67	54	28
Kcnip2	3	11	6	21	16	2	2	10	43	22	12	4	6	4
Mgea5	36	53	43	80	83	64	34	52	107	108	55	95	80	36
Npm3	7	15	4	11	8	20	5	9	18	11	10	15	13	5
Fgf8	2	2	3	5	5	0	0	5	16	15	1	2	2	0
Fbxw4	7	30	10	30	34	9	4	18	53	36	14	12	11	8
LOC101831262	0	0	0	2	2	0	0	2	1	2	2	1	1	2
Dpcd	17	21	16	23	35	47	25	26	54	48	39	46	36	21
Poll	5	7	3	18	16	10	9	9	17	22	12	7	5	2
Btrc	23	54	24	75	64	26	12	64	137	109	23	38	31	10
Lbx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlx1	0	0	0	0	1	1	0	0	0	1	0	0	1	0
LOC110342916	0	1	0	2	1	0	0	0	0	0	0	0	1	0
Kazald1	2	1	0	1	1	0	2	1	3	2	0	1	1	0
Sfxn3	25	24	19	25	27	36	19	18	34	47	35	35	34	21
Pdzd7	0	1	0	0	0	1	0	1	1	2	0	1	0	1
Lzts2	22	16	20	21	20	34	17	16	33	49	30	42	39	20
Twnk	3	5	8	7	3	11	4	9	4	13	13	14	8	6
Mrpl43	15	28	19	30	23	59	25	31	54	56	33	50	50	34
Sema4g	0	1	2	1	0	0	1	0	4	4	1	2	1	0
Slf2	10	25	7	41	35	9	3	39	67	52	16	20	18	8
LOC110343001	1	1	1	1	3	3	1	2	2	0	1	3	3	0
Pax2	10	35	5	56	47	16	7	46	82	73	12	16	11	9
Hif1an	7	10	10	11	11	21	10	11	23	19	12	28	23	13
Ndufb8	101	146	133	159	180	291	141	109	227	240	216	287	226	125
Sec31b	13	16	6	22	22	4	4	10	39	22	13	11	11	2
Wnt8b	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101834586	26	35	40	51	40	91	42	51	69	93	54	82	86	29
LOC106022525	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC106021254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101834849	10	12	15	22	18	31	10	4	27	27	30	36	26	13
LOC110343210	1	4	2	3	7	1	0	3	17	3	1	4	2	2
LOC101835884	49	123	60	119	88	90	49	64	124	121	89	123	141	42
LOC110343252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101835362	0	0	0	1	0	0	0	0	2	1	0	4	1	0
LOC101835628	0	1	1	2	1	1	1	0	4	1	1	0	1	0
Pkd2l1	6	8	4	11	15	0	0	8	30	23	2	4	4	2
Bloc1s2	0	0	0	0	0	1	0	0	0	2	1	0	0	0
Cwf19l1	0	5	6	9	3	10	4	6	10	10	7	6	5	3
Chuk	2	6	4	14	5	1	2	7	17	10	4	6	6	1
Erlin1	14	23	11	34	28	23	14	27	45	54	14	23	17	5
LOC110343412	0	6	2	9	6	4	3	5	13	5	6	8	7	1
Cpn1	0	2	1	1	2	1	0	1	1	1	0	0	1	0
Dnmbp	22	39	13	57	68	20	8	39	87	78	16	29	25	13
Abcc2	17	38	6	70	58	9	8	43	124	76	15	12	14	7
Cutc	12	23	12	25	25	25	6	31	62	40	15	24	18	6
LOC101839163	11	10	11	18	11	20	12	17	38	25	11	19	17	8
Entpd7	7	16	4	21	19	5	3	19	47	45	10	8	8	6
Slc25a28	9	15	19	21	24	38	27	30	47	51	36	45	47	15
Nkx2-3	0	0	0	3	1	0	0	0	2	1	0	0	0	0
LOC106021088	2	8	1	24	12	6	0	13	31	18	2	4	3	1
Got1	7	7	11	13	10	20	12	15	19	17	13	12	12	14
Cnnm1	6	24	1	27	27	4	4	13	55	32	5	7	8	4
Hpse2	28	61	26	99	75	26	16	71	152	95	28	26	21	12
LOC101840965	0	0	0	1	0	1	0	0	2	0	1	1	0	0
Hps1	8	24	15	35	24	24	13	19	38	47	15	22	30	16
Pyroxd2	2	1	1	7	3	9	3	3	5	11	8	8	7	4
LOC110341640	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC106021081	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Loxl4	1	4	2	5	13	4	0	4	8	6	4	4	0	0
R3hcc1l	1	21	9	12	13	16	11	14	29	20	15	17	12	9
LOC106022523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110343727	1	0	2	1	0	1	0	1	0	0	0	1	0	0
Crtac1	13	33	11	47	44	23	15	42	70	74	34	42	38	8
Golga7b	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Sfrp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve27	2	10	10	4	8	17	7	5	8	8	10	13	13	6
Marveld1	13	19	27	27	25	40	15	8	30	29	27	40	45	11
Avpi1	0	0	1	1	0	0	0	1	0	2	0	0	1	0
Pi4k2a	19	20	13	24	21	46	15	28	47	30	24	26	19	12
Morn4	9	13	3	10	15	17	5	13	22	30	17	22	15	6
Hoga1	4	17	6	24	22	1	3	19	52	26	5	9	6	3
CUNH10orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd2	4	3	0	6	9	2	1	8	15	8	0	0	0	1
Ubtd1	17	32	16	54	38	54	13	43	77	62	20	29	38	15
Mms19	14	29	14	21	24	30	16	17	48	50	20	38	26	17
Zdhhc16	6	5	5	7	11	7	6	11	24	16	12	8	9	7
Exosc1	10	26	21	33	25	42	17	19	33	47	30	40	40	12
Pgam1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrp12	6	12	4	19	13	4	8	20	24	20	4	3	8	3
Frat2	9	9	6	11	18	17	6	8	16	6	13	15	13	4
Frat1	3	5	9	6	10	14	9	5	12	11	18	17	18	11
Arhgap19	7	5	2	19	18	3	1	14	41	31	8	6	2	0
Slit1	4	7	2	17	14	3	3	13	26	16	3	3	6	1
LOC101825962	20	37	14	42	46	30	13	40	82	63	40	52	33	16
Pik3ap1	29	46	11	76	61	22	17	59	105	86	18	23	22	16
Tm9sf3	62	88	75	102	93	156	66	66	147	158	111	189	151	94
Tll2	4	7	2	14	15	3	1	16	31	19	3	2	4	2
Opalin	0	1	3	11	5	0	1	5	7	4	3	0	1	0
Dntt	1	5	2	8	3	1	0	5	17	13	2	2	1	0
Blnk	19	23	13	41	40	30	22	32	82	75	11	41	26	20
Znf518a	12	13	11	16	16	12	4	15	28	20	13	19	19	4
Ccnj	0	0	0	0	0	0	1	0	0	0	1	1	2	0
Cc2d2b	12	14	5	27	22	7	4	21	42	34	7	4	11	6
Entpd1	2	6	4	11	11	5	3	4	14	11	4	7	5	4
LOC110339773	1	0	0	2	2	1	1	1	1	5	3	2	1	0
Tctn3	5	5	2	7	8	2	2	8	17	11	3	8	5	3
Aldh18a1	7	12	7	20	28	20	12	19	30	47	15	27	28	9
LOC110341642	1	4	1	3	6	1	1	1	9	4	0	0	2	1
Sorbs1	24	43	18	76	58	30	20	65	121	79	27	40	36	17
LOC101840960	3	1	0	2	2	8	3	2	10	2	3	5	3	2
Pdlim1	53	60	61	95	114	123	52	80	163	165	93	157	134	49
LOC101828761	2	3	1	4	6	10	7	1	14	5	6	9	13	3
LOC101829294	3	5	5	13	11	2	4	5	17	11	4	0	2	3
LOC101823450	0	0	1	3	1	0	1	1	3	3	1	0	0	1
LOC101841491	0	0	0	0	0	1	0	0	1	0	1	3	2	0
LOC101830378	2	2	0	4	3	3	1	2	1	5	3	0	1	0
LOC101830819	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC101841752	6	12	1	14	13	2	1	11	25	16	1	5	1	2
LOC101831088	1	1	1	1	2	1	0	3	1	4	1	0	1	0
LOC101831527	1	3	0	1	2	0	0	2	3	3	2	2	0	0
LOC101842021	0	1	1	2	1	1	1	1	1	2	0	0	0	0
LOC101842292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101832144	2	7	3	13	8	2	3	13	30	24	1	1	5	0
LOC101842556	0	3	2	6	1	0	0	0	5	2	0	1	3	2
Hells	18	23	9	48	23	15	8	24	58	46	21	22	16	9
Tbc1d12	23	35	21	71	52	31	8	31	104	78	24	41	40	23
Noc3l	3	8	11	16	14	10	6	11	21	14	16	14	9	7
Plce1	17	49	26	64	61	26	16	63	123	95	26	36	32	9
Slc35g1	0	0	0	0	1	1	1	0	2	2	0	0	3	0
Lgi1	0	2	1	4	3	1	0	3	7	12	2	2	1	0
Pde6c	6	6	5	12	20	0	2	7	25	17	5	4	3	1
Rbp4	6	5	6	7	9	19	6	2	14	15	19	16	13	7
Ffar4	2	4	1	7	3	6	3	6	9	4	5	6	5	5
LOC110340165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep55	3	8	3	12	6	5	6	8	25	13	9	5	6	0
Myof	34	71	44	90	91	93	55	75	190	141	59	84	92	37
LOC101843358	4	3	1	12	5	1	1	5	6	12	3	7	1	0
LOC110341644	0	0	0	0	1	0	0	1	0	0	0	0	0	0
LOC101836237	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC101836485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc6	40	71	30	104	119	64	34	83	199	163	94	70	88	39
Hhex	21	26	18	26	24	47	26	23	44	43	33	57	28	19
Kif11	7	10	6	28	18	16	12	19	36	35	7	15	12	4
Ide	27	52	26	77	81	32	18	77	137	111	38	45	44	19
LOC101837637	0	0	0	0	0	0	0	0	1	0	0	0	0	0
March5	6	15	18	16	20	23	13	25	65	39	16	25	13	3
Cpeb3	26	87	21	128	106	31	19	100	217	139	28	43	44	23
LOC106021137	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Btaf1	28	44	19	71	40	36	18	55	122	103	22	48	33	24
Fgfbp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnks2	37	66	46	66	60	79	34	43	102	107	64	123	107	45
LOC110340189	2	1	1	3	1	2	6	2	2	2	4	2	2	1
Ppp1r3c	23	35	27	30	27	49	19	12	24	29	36	58	58	31
Hectd2	6	8	8	17	16	15	5	8	19	12	21	22	13	7
LOC106022549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcgf5	32	51	35	94	70	60	39	78	161	123	43	66	42	12
LOC106022293	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Ankrd1	50	58	90	79	72	152	81	52	119	125	103	95	106	74
Rpp30	6	2	9	10	17	16	11	18	26	24	10	15	16	8
Htr7	7	9	4	13	17	6	1	16	33	24	4	6	2	3
LOC101844426	3	4	1	4	1	1	1	3	6	3	0	0	0	0
Kif20b	6	1	1	5	3	5	7	3	8	11	6	5	4	2
Pank1	3	7	2	26	23	5	0	13	19	24	7	4	8	0
LOC101822347	3	12	1	8	10	4	0	5	23	9	3	5	1	0
LOC106020790	0	1	0	0	1	0	0	2	0	3	1	0	0	0
LOC101822611	0	1	0	0	0	0	0	1	1	1	0	0	0	0
Slc16a12	4	20	6	30	22	5	3	25	41	36	12	5	14	7
LOC101843363	4	2	2	4	6	17	4	5	16	17	6	6	4	4
LOC110341646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106020791	0	1	0	0	0	5	2	3	7	5	0	1	0	0
LOC110340224	2	0	2	5	1	12	5	15	12	27	2	2	1	0
LOC101843639	0	0	1	2	1	1	1	0	0	0	0	2	0	0
LOC101822883	1	14	11	8	12	37	24	9	26	31	7	9	8	8
Ifit3	80	67	133	137	100	632	521	515	1136	932	147	194	153	80
Ifit2	32	27	51	60	30	315	218	228	508	384	59	75	58	37
Lipa	27	44	26	35	41	68	32	33	105	71	44	47	45	13
Ch25h	1	1	2	2	2	5	4	2	4	12	2	1	1	3
Fas	4	14	7	7	7	18	16	19	37	22	17	11	15	2
Acta2	52	68	73	55	75	135	54	54	162	152	106	106	66	32
Stambpl1	5	6	3	9	7	18	10	8	15	13	6	14	5	2
LOC101822889	0	1	0	2	1	0	0	2	2	0	0	1	0	0
LOC101823153	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101823428	3	6	4	15	9	2	0	9	26	16	3	4	3	3
LOC101823691	2	3	0	4	2	0	1	0	2	1	0	1	1	1
LOC110341648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101824210	10	18	8	27	26	3	4	22	61	23	6	7	5	3
LOC106022560	5	5	5	8	11	20	14	21	19	27	10	9	16	9
LOC101824216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101823952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101824479	0	3	0	6	6	1	2	2	7	7	2	1	1	0
LOC101824484	5	3	1	6	5	1	1	4	9	11	3	6	1	0
Rnls	26	57	22	102	75	26	8	66	122	98	24	42	31	15
LOC106022570	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110340255	1	8	0	16	8	1	1	6	18	17	3	3	2	0
LOC106021020	1	0	2	0	1	2	0	1	0	0	0	1	3	1
Pten	32	67	50	52	69	109	42	54	125	124	87	121	111	47
Klln	0	1	1	1	0	0	1	2	0	0	2	0	1	2
Atad1	9	21	11	22	19	35	16	22	62	46	23	42	22	14
Papss2	18	33	15	52	45	26	19	47	107	78	23	23	23	7
Minpp1	6	13	12	13	19	17	11	10	20	20	30	32	32	14
LOC110341649	0	0	0	1	0	1	0	0	0	0	1	2	2	0
Sgms1	16	46	19	98	75	35	15	87	142	111	48	50	39	26
Asah2	1	1	0	9	8	2	0	5	14	8	1	3	2	5
A1cf	5	3	0	11	12	1	1	8	20	15	4	5	3	3
LOC106021271	52	120	55	183	129	82	45	114	241	212	128	142	167	91
Cstf2t	7	6	21	14	13	27	11	13	16	35	28	28	29	13
LOC101826743	54	90	109	116	78	118	68	85	152	127	111	146	99	62
Dkk1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LOC101827453	1	4	1	4	3	2	5	1	4	7	3	1	4	3
LOC101827715	8	5	13	11	11	12	10	10	11	22	14	16	19	10
Mbl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gldc	10	4	2	19	13	4	1	22	29	30	4	6	5	2
Uhrf2	26	40	18	37	38	40	19	28	59	52	28	49	32	24
LOC110341610	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Tpd52l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il33	2	3	2	4	3	7	5	0	7	2	1	1	4	1
Ranbp6	2	5	7	2	4	15	2	6	3	6	4	6	7	3
Kiaa2026	40	46	43	58	55	68	35	42	87	92	74	99	88	30
Mlana	0	1	0	3	1	0	0	6	4	4	1	1	0	0
Ermp1	5	9	6	15	14	12	6	9	18	23	11	13	11	6
Ric1	16	43	20	60	60	39	14	36	100	85	21	34	43	21
LOC101830379	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Pdcd1lg2	1	16	7	22	29	9	3	26	34	32	6	8	4	1
Cd274	0	1	4	5	2	1	4	3	20	13	1	6	5	0
Plgrkt	9	4	4	10	10	19	6	6	15	23	9	11	7	3
LOC101831175	2	0	1	1	3	3	1	2	1	2	2	2	2	1
LOC101831439	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Insl6	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Jak2	39	32	48	55	60	103	66	58	129	110	68	83	71	41
Rcl1	7	12	18	8	14	37	15	12	28	29	12	27	17	12
Ak3	40	61	47	48	66	90	42	62	99	99	81	145	104	50
Cdc37l1	13	7	10	16	9	15	8	10	20	20	14	23	13	3
Spata6l	10	7	4	30	17	5	2	20	43	24	15	7	7	2
Plpp6	0	0	0	1	0	1	0	0	2	2	1	0	1	0
Slc1a1	5	9	3	17	14	12	4	11	34	25	8	13	8	6
LOC101827091	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glis3	6	2	0	10	6	10	1	4	17	10	3	3	5	1
LOC110340334	1	10	3	10	10	3	4	5	26	11	1	6	1	1
LOC101827363	3	10	4	18	10	2	0	8	16	14	4	1	3	1
LOC110341660	0	1	0	1	0	0	0	0	0	1	1	0	0	0
Rfx3	25	58	24	99	62	30	17	52	158	109	25	29	34	10
LOC101827623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101827878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pum3	17	28	34	38	36	68	39	28	61	77	53	60	75	27
LOC110340345	0	0	0	1	0	0	0	0	1	1	0	0	0	0
Kcnv2	0	1	2	3	3	0	0	2	11	10	0	0	1	1
Vldlr	5	22	15	16	26	32	11	11	29	41	15	36	27	13
LOC101835028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarca2	77	95	107	154	129	147	96	93	185	181	128	162	144	80
LOC101828672	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dmrt2	0	2	0	0	0	0	1	1	0	0	0	2	0	0
Dmrt3	1	4	2	4	2	5	2	2	0	6	0	3	2	0
Dmrt1	2	7	3	5	6	1	1	6	8	8	2	1	1	1
Kank1	9	27	8	39	27	16	9	24	49	51	22	24	21	10
Dock8	40	70	46	120	94	82	51	71	152	136	82	133	97	35
LOC110341662	0	1	1	1	0	1	1	0	1	2	7	6	2	1
LOC101836661	16	27	10	36	23	24	12	21	62	52	22	26	17	9
LOC101829207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgm5	87	107	109	131	133	167	71	101	149	161	151	234	198	103
Tmem252	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Pip5k1b	45	73	41	114	110	62	33	83	216	150	55	73	55	25
Fam122a	9	14	15	11	11	21	12	12	28	21	19	23	17	9
Fxn	18	27	4	36	38	20	14	27	62	48	16	21	17	7
Tjp2	25	23	34	30	26	43	27	20	56	49	67	83	50	38
Fam189a2	10	24	23	34	36	21	23	27	58	48	23	26	49	14
Apba1	6	15	7	13	17	4	6	9	32	23	8	6	9	5
Ptar1	5	19	4	21	14	6	4	17	42	21	9	5	6	2
CUNH9orf135	2	3	3	11	8	2	0	4	13	13	12	3	5	1
Mamdc2	24	35	31	46	47	38	12	38	76	60	52	70	71	28
LOC101838532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc5	19	30	22	38	33	28	18	27	59	41	30	43	45	21
Klf9	40	55	47	34	74	106	31	50	94	73	78	98	80	46
LOC110341663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110341861	1	4	0	6	6	1	1	2	6	8	2	1	1	0
Trpm3	22	37	16	52	65	9	15	65	117	83	17	17	17	9
Tmem2	12	36	21	41	52	26	9	31	76	65	34	41	32	18
LOC106022580	1	0	0	2	0	0	0	1	0	1	0	0	0	0
LOC101843978	0	1	0	0	2	0	0	3	2	2	1	0	0	0
Abhd17b	15	30	9	31	34	36	18	36	49	58	18	33	26	12
CUNH9orf85	8	16	6	42	23	20	11	26	44	24	15	18	22	6
Gda	30	66	71	67	105	168	86	70	172	167	125	137	119	61
Zfand5	35	45	50	49	46	94	54	50	130	98	74	92	71	29
LOC106021060	2	10	1	10	7	1	0	6	14	19	1	3	4	2
Tmc1	8	20	5	30	25	7	4	17	39	36	6	8	3	6
LOC110340400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101832671	4	6	6	12	8	22	10	11	19	16	3	8	3	1
LOC101822890	818	1259	962	964	1234	1970	879	921	1454	1574	1491	1660	1461	780
LOC106020976	6	7	0	14	11	4	4	10	22	17	2	5	6	4
LOC110340404	1	1	1	2	2	0	0	0	1	1	1	1	0	1
Anxa1	244	391	335	356	394	867	439	464	998	860	383	658	458	266
LOC106022034	1	4	1	3	5	0	0	3	8	8	2	1	0	0
LOC101832932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101833198	0	2	0	0	0	0	0	0	0	0	0	0	0	1
LOC101833454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rorb	25	52	17	80	73	16	15	64	124	103	20	25	31	13
Trpm6	10	23	10	29	32	12	5	27	64	45	7	17	15	8
CUNH9orf40	7	9	9	1	12	18	12	15	9	16	12	15	17	12
Carnmt1	0	4	1	0	3	2	1	0	6	2	2	4	1	1
LOC110341664	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Nmrk1	10	17	7	24	29	12	7	15	43	21	15	21	22	9
Ostf1	103	175	136	177	217	334	166	189	396	362	220	338	277	138
LOC110341666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101834503	4	2	0	11	5	1	1	2	8	5	0	1	1	0
Pcsk5	28	69	30	111	83	39	14	70	158	103	50	83	31	22
Gcnt1	1	5	7	11	10	15	15	12	33	24	10	9	8	7
Prune2	23	83	17	99	89	21	14	57	174	122	24	38	25	12
LOC110341670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
